site_code,qtr,collection_period,com,is_baseline,cdis,cdis_b_all,cdis_sd20,cdis_b_qtr,cdis_b_qtr_fill,cdis_RR_b_qtr,cdis_RR_b_all,cdis_LRR_b_qtr,cdis_LRR_b_all
AR,1,2018-02-01,community,test,0.8680436157219736,0.45146343448704546,0.2967147325529087,0.4699794912358954,0.4699794912358954,0.8293356940337306,0.9027371403716771,-0.18713026729153345,-0.10232386387570942
AR,2,2018-04-01,community,test,1.4378030660860754,0.45146343448704546,0.2967147325529087,0.36621232297288375,0.36621232297288375,2.84836693983155,2.1374166572816926,1.0467458264833986,0.7595979303232124
AR,2,2018-05-01,community,test,0.5271291960106019,0.45146343448704546,0.2967147325529087,0.36621232297288375,0.36621232297288375,0.4277288733291083,0.16396913789640816,-0.8492657576595932,-1.808077052425173
AR,2,2018-06-01,community,test,0.5371498436990176,0.45146343448704546,0.2967147325529087,0.36621232297288375,0.36621232297288375,0.4543644912409064,0.18568407117070862,-0.7888555589047928,-1.6837085915200616
AR,3,2017-09-01,community,test,0.7436020934632839,0.45146343448704546,0.2967147325529087,0.3985302257492509,0.3985302257492509,0.8446666757182182,0.6330700054295191,-0.16881319605303988,-0.4571742698573197
AR,3,2018-07-01,community,test,0.45238192347783507,0.45146343448704546,0.2967147325529087,0.3985302257492509,0.3985302257492509,0.13181814792239496,0.001990383033946315,-2.0263319735063727,-6.2194281793975055
AR,3,2018-08-01,community,test,0.9980799997708261,0.45146343448704546,0.2967147325529087,0.3985302257492509,0.3985302257492509,1.4675775162584148,1.1845284467476602,0.38361309330696675,0.16934476015581632
AR,4,2017-11-01,community,test,0.6854105166767978,0.45146343448704546,0.2967147325529087,0.519248113858646,0.519248113858646,0.3139593670097257,0.5069677567190208,-1.1584917058749842,-0.679307873628228
AR,4,2017-12-01,community,test,0.7234842614409054,0.45146343448704546,0.2967147325529087,0.519248113858646,0.519248113858646,0.38589867820824714,0.5894742825208533,-0.9521804356627582,-0.5285241858751734
EM,1,2018-02-01,community,test,0.5089173481489712,0.11656576076863356,0.06433381328772614,0.1210157124607601,0.1210157124607601,2.9607260717250967,3.099982056739416,1.0854345327579134,1.1313963233257738
EM,1,2018-03-01,community,test,0.9580032388081301,0.11656576076863356,0.06433381328772614,0.1210157124607601,0.1210157124607601,6.388451511860093,6.648223602729907,1.8544919091104572,1.8943496915738447
EM,2,2018-04-01,community,test,0.14933168243213782,0.11656576076863356,0.06433381328772614,0.040297243442927295,0.040297243442927295,2.167801484248989,0.2588845629696127,0.7737135130791329,-1.3513730194576523
EM,2,2018-05-01,community,test,0.22453956053990728,0.11656576076863356,0.06433381328772614,0.040297243442927295,0.040297243442927295,3.663069871931278,0.8531043397167535,1.2983015586710647,-0.1588734180838806
EM,2,2018-06-01,community,test,0.2412608687308431,0.11656576076863356,0.06433381328772614,0.040297243442927295,0.040297243442927295,3.9955196653262104,0.9852199141769182,1.3851736496889229,-0.014890399605775533
EM,3,2018-07-01,community,test,0.21834482191276566,0.11656576076863356,0.06433381328772614,0.0980840665298735,0.0980840665298735,1.1126594256115736,0.8041595177560511,0.10675302871174787,-0.21795762431365548
EM,4,2017-10-01,community,test,0.43458841326222714,0.11656576076863356,0.06433381328772614,0.16873176197812023,0.16873176197812023,1.4874617042977074,2.5127068376332016,0.3970711130962947,0.9213605934329062
EM,4,2017-11-01,community,test,1.1368329556205987,0.11656576076863356,0.06433381328772614,0.16873176197812023,0.16873176197812023,5.416503384334063,8.061162739874394,1.6894504752226498,2.0870578066443093
EM,4,2017-12-01,community,test,0.6375997310453723,0.11656576076863356,0.06433381328772614,0.16873176197812023,0.16873176197812023,2.623305247360843,4.116705553796703,0.9644350674882015,1.4150532206276665
GC,1,2018-02-01,community,test,0.8411637833830132,0.4618002739443515,0.22582679510656542,0.26947291323256306,0.26947291323256306,2.0456038602736366,0.8040764925104883,0.7156930321037537,-0.2180608743902693
GC,2,2018-04-01,community,test,0.4504939887043637,0.4618002739443515,0.22582679510656542,0.32257666666035534,0.32257666666035534,0.3846250650369414,-0.023964134538254637,-0.9554862762481251,-3.7311969605943354
GC,2,2018-05-01,community,test,0.3482874323642219,0.4618002739443515,0.22582679510656542,0.32257666666035534,0.32257666666035534,0.07730778578679941,-0.24059511587633878,-2.559960606768749,-1.4246397754134421
GC,2,2018-06-01,community,test,0.3111885548164973,0.4618002739443515,0.22582679510656542,0.32257666666035534,0.32257666666035534,-0.03424206501981738,-0.31922770597123207,-3.3743004193689625,-1.1418506190177364
GC,3,2018-07-01,community,test,0.622708419322505,0.4618002739443515,0.22582679510656542,0.6401454646003538,0.6401454646003538,-0.026820221361641642,0.34105140302892756,-3.618599147559323,-1.0757220710387416
GC,3,2018-08-01,community,test,0.6615737242164262,0.4618002739443515,0.22582679510656542,0.6401454646003538,0.6401454646003538,0.03295917726542079,0.4234280082161161,-3.412485535859791,-0.8593717717462398
GC,4,2017-10-01,community,test,0.5392636088335443,0.4618002739443515,0.22582679510656542,0.623385855722874,0.623385855722874,-0.13281358610909016,0.1641867102822613,-2.0188087421342775,-1.8067510214009412
GC,4,2017-11-01,community,test,0.4909118853239656,0.4618002739443515,0.22582679510656542,0.623385855722874,0.623385855722874,-0.20915208194492715,0.0617032523873604,-1.5646936268287368,-2.785418636536889
GC,4,2017-12-01,community,test,0.6417363402193802,0.4618002739443515,0.22582679510656542,0.623385855722874,0.623385855722874,0.028972046550618163,0.3813818605290848,-3.5414238259052784,-0.9639541471747265
MR,1,2018-02-01,community,test,0.4809686614531362,0.5773913734557762,0.29026384786211035,0.5333845810419062,0.5333845810419062,-0.09646191926952681,-0.16415411659071544,-2.3386069674883863,-1.8069495571234913
MR,1,2018-03-01,community,test,0.43642547915322466,0.5773913734557762,0.29026384786211035,0.5333845810419062,0.5333845810419062,-0.17843550456063456,-0.2399863203186191,-1.7235280620419184,-1.4271733559370523
MR,2,2018-04-01,community,test,0.35692790377431005,0.5773913734557762,0.29026384786211035,0.8717659217901659,0.8717659217901659,-0.583871530179607,-0.37532636610650616,-0.5380743029227905,-0.9799593218941994
MR,2,2018-06-01,community,test,0.5751830445386898,0.5773913734557762,0.29026384786211035,0.8717659217901659,0.8717659217901659,-0.33635103140451594,-0.0037595528584190123,-1.0895999280531576,-5.583455249285194
MR,3,2018-08-01,community,test,0.462698704942158,0.5773913734557762,0.29026384786211035,0.5403974694771312,0.5403974694771312,-0.14116846250907694,-0.19525766583675108,-1.9578013322052155,-1.633435229385167
MR,4,2017-10-01,community,test,0.3417778961469109,0.5773913734557762,0.29026384786211035,0.3455205695245789,0.3455205695245789,-0.010527304742656339,-0.40111838197876476,-4.553782945461266,-0.9134986783388536
MR,4,2017-11-01,community,test,0.5816764604549968,0.5773913734557762,0.29026384786211035,0.3455205695245789,0.3455205695245789,0.6642538046285709,0.007295113944235013,-0.4090909666528276,-4.920550477631768
MR,4,2017-12-01,community,test,0.3774574193792579,0.5773913734557762,0.29026384786211035,0.3455205695245789,0.3455205695245789,0.08983122944865525,-0.34037604757498363,-2.4098225974419907,-1.0777042502845877
PD,1,2018-02-01,community,test,0.6886699273778579,0.33658351294602323,0.24760899558649221,0.4155227335482098,0.4155227335482098,0.6419097554483579,1.015877562781437,-0.44330755301020897,0.0157528328210995
PD,1,2018-03-01,community,test,0.8518858803476704,0.33658351294602323,0.24760899558649221,0.4155227335482098,0.4155227335482098,1.025475520804396,1.4868057716349024,0.02515642774748599,0.39663004135090074
PD,2,2018-04-01,community,test,0.48763829095821587,0.33658351294602323,0.24760899558649221,0.30683778057654765,0.30683778057654765,0.5706406289447764,0.43583947986503857,-0.5609956388386025,-0.8304812688697992
PD,2,2018-05-01,community,test,0.8914941904521206,0.33658351294602323,0.24760899558649221,0.30683778057654765,0.30683778057654765,1.8452862812372866,1.601087924781116,0.6126344314377637,0.47068335117063553
PD,2,2018-06-01,community,test,0.9075586290116917,0.33658351294602323,0.24760899558649221,0.30683778057654765,0.30683778057654765,1.8959886896758846,1.6474387694102224,0.6397404384542169,0.49922182094375345
PD,3,2018-08-01,community,test,0.9687704397053992,0.33658351294602323,0.24760899558649221,0.2968530913724681,0.2968530913724681,2.189703696083466,1.8240536642544578,0.7837662360827047,0.6010613124114819
PD,4,2017-10-01,community,test,0.8386607789296836,0.33658351294602323,0.24760899558649221,0.20897242665604954,0.20897242665604954,2.8756513406261677,1.4486472876794159,1.0562792018512748,0.37063021595706047
PD,4,2017-11-01,community,test,1.070855392462579,0.33658351294602323,0.24760899558649221,0.20897242665604954,0.20897242665604954,3.936034225717059,2.1186001413486477,1.3701736747103967,0.7507555598982059
PD,4,2017-12-01,community,test,0.856619150782282,0.33658351294602323,0.24760899558649221,0.20897242665604954,0.20897242665604954,2.9576633643628663,1.5004627121926855,1.0843995526611496,0.4057735353347206
PL,1,2018-02-01,community,test,0.20231634125307885,0.38723936131635467,0.30389461689150843,0.28424538219913154,0.28424538219913154,-0.2784378138196471,-0.46552038410918267,-1.2785605342437147,-0.7645993935155231
PL,1,2018-03-01,community,test,0.3349897403083063,0.38723936131635467,0.30389461689150843,0.28424538219913154,0.28424538219913154,0.1724559200553005,-0.1315318321802397,-1.757613611076888,-2.0285063868467788
PL,2,2018-04-01,community,test,0.31666468340579695,0.38723936131635467,0.30389461689150843,0.2825602446798272,0.2825602446798272,0.11657236191914264,-0.17766285213200017,-2.1492430664460844,-1.727867613891249
PL,2,2018-05-01,community,test,0.28853153845413326,0.38723936131635467,0.30389461689150843,0.2825602446798272,0.2825602446798272,0.020410475732411733,-0.2484844969419135,-3.8917069936416455,-1.3923748219432315
PL,2,2018-06-01,community,test,0.2590448498226085,0.38723936131635467,0.30389461689150843,0.2825602446798272,0.2825602446798272,-0.08037795730911267,-0.3227135172832338,-2.5210153032086953,-1.1309902927220667
PL,3,2018-08-01,community,test,0.23210427031082412,0.38723936131635467,0.30389461689150843,0.20181315330422314,0.20181315330422314,0.1430086684139697,-0.39053302898144476,-1.9448500322799351,-0.9402427320206881
PL,4,2017-10-01,community,test,0.0973906263931181,0.38723936131635467,0.30389461689150843,0.5874968278228989,0.5874968278228989,-0.8202657798461999,-0.7296576400756167,-0.1981268694762913,-0.3151798410459087
PL,4,2017-11-01,community,test,0.3782363326441118,0.38723936131635467,0.30389461689150843,0.5874968278228989,0.5874968278228989,-0.3502286295665707,-0.02266398939523276,-1.0491691104257264,-3.786977984366458
PL,4,2017-12-01,community,test,0.464472358314595,0.38723936131635467,0.30389461689150843,0.5874968278228989,0.5874968278228989,-0.20589978687680832,0.1944243308173413,-1.580365700029996,-1.6377122362620549
SF,1,2018-02-01,community,test,0.5817190843678071,0.4374092816013497,0.27067717500517097,0.2974446831619027,0.2974446831619027,0.924635932169311,0.32254539344814087,-0.0783552057893315,-1.1315113977733922
SF,2,2018-04-01,community,test,0.152650102365343,0.4374092816013497,0.27067717500517097,0.4082234459236965,0.4082234459236965,-0.6110928166494569,-0.6364623867810875,-0.4925064219376946,-0.45182995655468494
SF,2,2018-05-01,community,test,0.30256666947434396,0.4374092816013497,0.27067717500517097,0.4082234459236965,0.4082234459236965,-0.2526323607132951,-0.30138537055910497,-1.3758199667672568,-1.1993655322587218
SF,2,2018-06-01,community,test,0.2564729487684159,0.4374092816013497,0.27067717500517097,0.4082234459236965,0.4082234459236965,-0.36284550432155105,-0.40440898361637373,-1.0137781432436592,-0.9053285774031028
SF,3,2017-09-01,community,test,0.3256962781209231,0.4374092816013497,0.27067717500517097,0.3548971360437004,0.3548971360437004,-0.08002490301617536,-0.24968861414896842,-2.525417405046028,-1.387540680857908
SF,3,2018-07-01,community,test,0.4641174530388448,0.4374092816013497,0.27067717500517097,0.3548971360437004,0.3548971360437004,0.2993180987369111,0.059695166228787795,-1.2062483957315162,-2.8185042295536378
SF,4,2017-11-01,community,test,0.46928148894994143,0.4374092816013497,0.27067717500517097,0.6890718612760991,0.6890718612760991,-0.3144031171916262,0.07123725112388371,-1.1570793037446006,-2.6417394074381595
SF,4,2017-12-01,community,test,0.23877315677486777,0.4374092816013497,0.27067717500517097,0.6890718612760991,0.6890718612760991,-0.6441379340877024,-0.4439696112595861,-0.43984239244576845,-0.8119991620012891
TR,1,2018-02-01,community,test,0.6045093494302902,0.3861989885667976,0.19745922355809134,0.38374062720764013,0.38374062720764013,0.5606958158936115,0.5510119085694899,-0.5785767381710407,-0.5959988574139705
TR,2,2018-04-01,community,test,0.5507300768301155,0.3861989885667976,0.19745922355809134,0.34098143876777137,0.34098143876777137,0.597606069422735,0.4152738725015162,-0.5148234888852269,-0.8788170426733594
TR,2,2018-06-01,community,test,0.31303276563556254,0.3861989885667976,0.19745922355809134,0.34098143876777137,0.34098143876777137,-0.07963006029700964,-0.1846703930161586,-2.5303636154983318,-1.6891827023186896
TR,3,2018-07-01,community,test,0.20519380480072674,0.3861989885667976,0.19745922355809134,0.2638738995515427,0.2638738995515427,-0.21425953640307538,-0.45685422979204315,-1.5405672118620262,-0.7833909109789822
TR,4,2017-10-01,community,test,0.38694707848086224,0.3861989885667976,0.19745922355809134,0.5549708080606574,0.5549708080606574,-0.29740249793889434,0.0018881671474497964,-1.212668845734818,-6.272148683689269
TR,4,2017-11-01,community,test,0.355995293986469,0.3861989885667976,0.19745922355809134,0.5549708080606574,0.5549708080606574,-0.35218724796985545,-0.07623364887827407,-1.0435922903618402,-2.57395232743103
TR,4,2017-12-01,community,test,0.41604004008391815,0.3861989885667976,0.19745922355809134,0.5549708080606574,0.5549708080606574,-0.24590786991922436,0.07531834350478028,-1.402798325720582,-2.586031568202153
WM,1,2018-02-01,community,test,0.7470789036315095,0.7259272757761596,0.19641511439174908,0.8333533656165534,0.8333533656165534,-0.10229930359259415,0.028741464750089606,-2.279852413549251,-3.5494144340736042
WM,1,2018-03-01,community,test,0.40721474488039344,0.7259272757761596,0.19641511439174908,0.8333533656165534,0.8333533656165534,-0.5052907098136986,-0.43307612231063175,-0.6826213523397358,-0.8368417643279504
WM,2,2018-04-01,community,test,0.7055235052769937,0.7259272757761596,0.19641511439174908,0.45565540257579645,0.45565540257579645,0.5365944458478076,-0.02772525379990386,-0.6225126916818864,-3.5854115915981066
WM,2,2018-05-01,community,test,0.7778617031008894,0.7259272757761596,0.19641511439174908,0.45565540257579645,0.45565540257579645,0.6919415059780096,0.07057005363737366,-0.3682538558707512,-2.651149393910545
WM,2,2018-06-01,community,test,1.0040569296870565,0.7259272757761596,0.19641511439174908,0.45565540257579645,0.45565540257579645,1.1776981950123402,0.37793089489387693,0.16356185122628702,-0.9730439178168159
WM,4,2017-10-01,community,test,0.4092763785838878,0.7259272757761596,0.19641511439174908,0.8554087223576046,0.8554087223576046,-0.5155163476493894,-0.4302747127537975,-0.6625862638079842,-0.8433314074137944
WM,4,2017-11-01,community,test,0.28435633949653677,0.7259272757761596,0.19641511439174908,0.8554087223576046,0.8554087223576046,-0.6598643717218017,-0.6000197992578977,-0.4157209624703574,-0.510792625547275
WM,4,2017-12-01,community,test,0.4400193474032787,0.7259272757761596,0.19641511439174908,0.8554087223576046,0.8554087223576046,-0.4799921288321364,-0.3885002469453829,-0.733985573481036,-0.9454614735365858
