site_code,ymonth,density_com,density_com_delta_at_mu,density_com_delta_at_me,density_com_delta_yr_mu,density_com_delta_yr_me,density_com_delta_qt_mu,density_com_delta_qt_me
TR,2017 Mar,NA,NA,NA,NA,NA,NA,NA
TR,2017 Apr,0.6340557275541796,-1.931560424745629,-0.7130422463320119,-0.714780238099022,-0.7502920436788376,-1.3183534332052755,-1.1033425065932805
TR,2017 May,NA,NA,NA,NA,NA,NA,NA
TR,2017 Jun,NA,NA,NA,NA,NA,NA,NA
TR,2017 Jul,NA,NA,NA,NA,NA,NA,NA
TR,2017 Aug,NA,NA,NA,NA,NA,NA,NA
TR,2017 Sep,NA,NA,NA,NA,NA,NA,NA
TR,2017 Oct,1.1740827478532398,-1.3915334044465688,-0.1730152260329516,-0.17475321779996178,-0.21026502337977737,-1.1455803116174137,-0.42053004675955474
TR,2017 Nov,1.5946127946127946,-0.9710033576870141,0.24751482072660314,0.24577682895959296,0.21026502337977737,-0.725050264857859,0
TR,2017 Dec,1.9925925925925927,-0.573023559707216,0.6454946187064012,0.6437566269393911,0.6082448213595755,-0.32707046687806085,0.3979797979797981
TR,2018 Jan,NA,NA,NA,NA,NA,NA,NA
TR,2018 Feb,12.83646723646724,10.27085108416743,11.489369262581048,8.644906759906762,9.9957264957265,5.658177018274048,5.658177018274048
TR,2018 Mar,NA,NA,NA,NA,NA,NA,NA
TR,2018 Apr,4.046620046620046,1.4810038943202377,2.699522072733855,-0.14494042994043088,1.2058793058793058,2.0942108858605915,2.309221812472586
TR,2018 May,NA,NA,NA,NA,NA,NA,NA
TR,2018 Jun,2.8407407407407406,0.2751245884409319,1.493642766854549,-1.3508197358197367,0,0.8883315799812854,1.1033425065932805
TR,2018 Jul,1.0256410256410255,-1.5399751266587831,-0.3214569482451659,-3.1659194509194517,-1.815099715099715,0.3076097738344089,0.10552162919553443
TR,2018 Aug,NA,NA,NA,NA,NA,NA,NA
TR,2018 Sep,0.20833333333333334,-2.357282818966475,-1.1387646405528582,-3.9832271432271438,-2.632407407407407,-0.5096979184732833,-0.7117860631121578
TR,2018 Oct,NA,NA,NA,NA,NA,NA,NA
TR,2018 Nov,NA,NA,NA,NA,NA,NA,NA
TR,2018 Dec,NA,NA,NA,NA,NA,NA,NA
TR,2019 Jan,NA,NA,NA,NA,NA,NA,NA
TR,2019 Feb,NA,NA,NA,NA,NA,NA,NA
TR,2019 Mar,NA,NA,NA,NA,NA,NA,NA
TR,2019 Apr,NA,NA,NA,NA,NA,NA,NA
TR,2019 May,NA,NA,NA,NA,NA,NA,NA
TR,2019 Jun,NA,NA,NA,NA,NA,NA,NA
TR,2019 Jul,NA,NA,NA,NA,NA,NA,NA
TR,2019 Aug,NA,NA,NA,NA,NA,NA,NA
TR,2019 Sep,NA,NA,NA,NA,NA,NA,NA
TR,2019 Oct,0.04789575629512236,-2.517720396004686,-1.2992022175910691,0,0,-2.271767303175531,-1.5467170383176723
TR,2019 Nov,NA,NA,NA,NA,NA,NA,NA
TR,2019 Dec,NA,NA,NA,NA,NA,NA,NA
TR,2020 Jan,1.5201131999191433,-1.0455029523806654,0.17301522603295183,-0.8592828327026081,0.299996901736826,-5.658177018274047,-5.658177018274047
TR,2020 Feb,NA,NA,NA,NA,NA,NA,NA
TR,2020 Mar,NA,NA,NA,NA,NA,NA,NA
TR,2020 Apr,NA,NA,NA,NA,NA,NA,NA
TR,2020 May,NA,NA,NA,NA,NA,NA,NA
TR,2020 Jun,0.2882201281228538,-2.277396024176955,-1.0588778457633377,-2.091175904498898,-0.9318961700594635,-1.6641890326366013,-1.4491781060246063
TR,2020 Jul,NA,NA,NA,NA,NA,NA,NA
TR,2020 Aug,NA,NA,NA,NA,NA,NA,NA
TR,2020 Sep,0.9201193964454911,-1.6454967558543174,-0.42697857744070034,-1.4592766361762601,-0.29999690173682614,0.20208814463887448,0
TR,2020 Oct,NA,NA,NA,NA,NA,NA,NA
TR,2020 Nov,6.789131405999518,4.223515253699709,5.442033432113327,4.4097353733777664,5.569015107817201,4.469468346528864,5.194518611386723
TR,2020 Dec,NA,NA,NA,NA,NA,NA,NA
SF,2017 Mar,1.1125037302297822,-0.9687140477011753,-0.5511342249522906,-1.0298141699335939,0.21850352074403023,-2.156451390422912,-2.8284992196227257
SF,2017 Apr,NA,NA,NA,NA,NA,NA,NA
SF,2017 May,NA,NA,NA,NA,NA,NA,NA
SF,2017 Jun,NA,NA,NA,NA,NA,NA,NA
SF,2017 Jul,NA,NA,NA,NA,NA,NA,NA
SF,2017 Aug,NA,NA,NA,NA,NA,NA,NA
SF,2017 Sep,0.4235992240100422,-1.6576185539209154,-1.2400387311720307,-1.718718676153334,-0.4704009854757098,-0.180658076938708,-0.06698826678285769
SF,2017 Oct,NA,NA,NA,NA,NA,NA,NA
SF,2017 Nov,6.357671957671958,4.276454179741,4.694034002489885,4.2153540575085815,5.463671748186206,3.4275993815073957,4.014111128549674
SF,2017 Dec,0.6754966887417219,-1.4057210891892358,-0.9881412664403509,-1.4668212114216543,-0.21850352074403012,-2.25457588742284,-1.6680641403805625
SF,2018 Jan,NA,NA,NA,NA,NA,NA,NA
SF,2018 Feb,3.941002949852508,1.8597851719215504,2.2773649946704353,2.42608490202454,2.7192151673820066,0.6720478291998138,0
SF,2018 Mar,NA,NA,NA,NA,NA,NA,NA
SF,2018 Apr,1.573109243697479,-0.5081085342334786,-0.09052871148459385,0.05819119586951094,0.3513214612269777,-0.297950671599319,-0.1810574229691877
SF,2018 May,0.8704663212435233,-1.2107514566874342,-0.7931716339385495,-0.6444517265844447,-0.35132146122697794,-1.0005935940532746,-0.8837003454231434
SF,2018 Jun,1.7541666666666667,-0.3270511112642909,0.09052871148459385,0.23924861883869863,0.5323788841961654,-0.11689324863013129,0
SF,2018 Jul,0.5575757575757576,-1.5236420203552,-1.1060621976063152,-0.9573422902522104,-0.6642120248947436,-0.04668154337299257,0.06698826678285774
SF,2018 Aug,NA,NA,NA,NA,NA,NA,NA
SF,2018 Sep,0.3931873479318735,-1.688030429999084,-1.2704506072501993,-1.1217306998960945,-0.8286004345386278,-0.2110699530168767,-0.09740014286102638
SF,2018 Oct,NA,NA,NA,NA,NA,NA,NA
SF,2018 Nov,NA,NA,NA,NA,NA,NA,NA
SF,2018 Dec,NA,NA,NA,NA,NA,NA,NA
SF,2019 Jan,NA,NA,NA,NA,NA,NA,NA
SF,2019 Feb,NA,NA,NA,NA,NA,NA,NA
SF,2019 Mar,NA,NA,NA,NA,NA,NA,NA
SF,2019 Apr,3.1470509741126236,1.065833196181666,1.4834130189305508,0.4206031491860154,0.4206031491860154,1.2759910588158256,1.392884307445957
SF,2019 May,NA,NA,NA,NA,NA,NA,NA
SF,2019 Jun,NA,NA,NA,NA,NA,NA,NA
SF,2019 Jul,NA,NA,NA,NA,NA,NA,NA
SF,2019 Aug,NA,NA,NA,NA,NA,NA,NA
SF,2019 Sep,NA,NA,NA,NA,NA,NA,NA
SF,2019 Oct,2.3058446757405924,0.22462689780963485,0.6422067205585196,-0.4206031491860158,-0.4206031491860158,-0.6242279004239695,-0.037716153381691875
SF,2019 Nov,NA,NA,NA,NA,NA,NA,NA
SF,2019 Dec,NA,NA,NA,NA,NA,NA,NA
SF,2020 Jan,4.753358681875792,2.6721409039448343,3.0897207266937192,2.2064064545205935,2.5574670052419552,1.4844035612230977,0.8123557320232839
SF,2020 Feb,NA,NA,NA,NA,NA,NA,NA
SF,2020 Mar,NA,NA,NA,NA,NA,NA,NA
SF,2020 Apr,NA,NA,NA,NA,NA,NA,NA
SF,2020 May,NA,NA,NA,NA,NA,NA,NA
SF,2020 Jun,2.0105063707636974,-0.0707114071672601,0.3468684155816246,-0.5364458565915009,-0.18538530587013913,0.1394464554668995,0.2563397040970308
SF,2020 Jul,NA,NA,NA,NA,NA,NA,NA
SF,2020 Aug,NA,NA,NA,NA,NA,NA,NA
SF,2020 Sep,1.0426668742773275,-1.03855090365363,-0.6209710809047453,-1.5042853530778708,-1.153224802356509,0.43840957332857733,0.5520793834844276
SF,2020 Oct,NA,NA,NA,NA,NA,NA,NA
SF,2020 Nov,2.381276982503976,0.3000592045730186,0.7176390273219033,-0.1656752448512222,0.18538530587013957,-0.5487955936605857,0.037716153381691875
SF,2020 Dec,NA,NA,NA,NA,NA,NA,NA
AR,2017 Mar,0.3760191846522782,-0.053249824663142264,0,-0.16098545104108714,-0.07865707434052754,-0.019881855210646504,-0.07397123834478742
AR,2017 Apr,NA,NA,NA,NA,NA,NA,NA
AR,2017 May,NA,NA,NA,NA,NA,NA,NA
AR,2017 Jun,NA,NA,NA,NA,NA,NA,NA
AR,2017 Jul,NA,NA,NA,NA,NA,NA,NA
AR,2017 Aug,NA,NA,NA,NA,NA,NA,NA
AR,2017 Sep,0.2620134228187919,-0.16725558649662853,-0.11400576183348626,-0.2749912128745734,-0.1926628361740138,0.046945114485547224,0.09165450130067415
AR,2017 Oct,NA,NA,NA,NA,NA,NA,NA
AR,2017 Nov,0.9766526019690577,0.5473835926536372,0.6006334173167795,0.43964796627569236,0.521976342976252,0.2547056445880702,0.22165963431786218
AR,2017 Dec,0.5333333333333333,0.10406432401791288,0.15731414868105514,-0.0036713023600319916,0.0786570743405276,-0.18861362404765414,-0.22165963431786218
AR,2018 Jan,NA,NA,NA,NA,NA,NA,NA
AR,2018 Feb,0.5470085470085471,0.11773953769312662,0.17098936235626888,0.23393858286069208,0.2835354931163315,0.15110750714562238,0.09701812401148147
AR,2018 Mar,NA,NA,NA,NA,NA,NA,NA
AR,2018 Apr,0.17507598784194528,-0.25419302147347517,-0.2009431968103329,-0.1379939763059097,-0.08839706605027026,-0.2626339190881235,-0.238142020585644
AR,2018 May,0.562962962962963,0.13369395364754255,0.18694377831068482,0.24989299881510801,0.29948990907074746,0.12525305603289422,0.14974495453537373
AR,2018 Jun,0.26347305389221554,-0.1657959554232049,-0.11254613076006265,-0.04959691025563945,0,-0.17423685303785325,-0.14974495453537373
AR,2018 Jul,0.08142493638676844,-0.347844072928652,-0.29459424826550973,-0.23164502776108653,-0.18204811750544708,-0.13364337194647624,-0.08893398513134933
AR,2018 Aug,0.054794520547945195,-0.37447448876747524,-0.321224664104333,-0.2582754435999098,-0.20867853334427033,-0.1602737877852995,-0.11556440097017256
AR,2018 Sep,0.5067497403946002,0.07748073107917974,0.130730555742322,0.1936797762467452,0.24327668650238465,0.2916814320613555,0.3363908188764824
AR,2018 Oct,NA,NA,NA,NA,NA,NA,NA
AR,2018 Nov,NA,NA,NA,NA,NA,NA,NA
AR,2018 Dec,NA,NA,NA,NA,NA,NA,NA
AR,2019 Jan,NA,NA,NA,NA,NA,NA,NA
AR,2019 Feb,NA,NA,NA,NA,NA,NA,NA
AR,2019 Mar,0.523961661341853,0.09469265202643251,0.14794247668957478,0.17680136991186757,0.17680136991186757,0.12806062147892827,0.07397123834478736
AR,2019 Apr,NA,NA,NA,NA,NA,NA,NA
AR,2019 May,NA,NA,NA,NA,NA,NA,NA
AR,2019 Jun,NA,NA,NA,NA,NA,NA,NA
AR,2019 Jul,NA,NA,NA,NA,NA,NA,NA
AR,2019 Aug,NA,NA,NA,NA,NA,NA,NA
AR,2019 Sep,0.17035892151811777,-0.2589100877973027,-0.20566026313416041,-0.17680136991186762,-0.17680136991186762,-0.04470938681512693,0
AR,2019 Oct,NA,NA,NA,NA,NA,NA,NA
AR,2019 Nov,NA,NA,NA,NA,NA,NA,NA
AR,2019 Dec,NA,NA,NA,NA,NA,NA,NA
AR,2020 Jan,0.13661476644902054,-0.2926542428663999,-0.23940441820325764,-0.42932130447441214,-0.38805954579760654,-0.25928627341390414,-0.31337565654804506
AR,2020 Feb,NA,NA,NA,NA,NA,NA,NA
AR,2020 Mar,NA,NA,NA,NA,NA,NA,NA
AR,2020 Apr,NA,NA,NA,NA,NA,NA,NA
AR,2020 May,NA,NA,NA,NA,NA,NA,NA
AR,2020 Jun,0.7493276230231514,0.3200586137077309,0.3733084383708732,0.1833915520997187,0.22465331077652428,0.3116177160930826,0.3361096145955621
AR,2020 Jul,NA,NA,NA,NA,NA,NA,NA
AR,2020 Aug,NA,NA,NA,NA,NA,NA,NA
AR,2020 Sep,NA,NA,NA,NA,NA,NA,NA
AR,2020 Oct,0.3000210014701029,-0.12924800784531754,-0.07599818318217527,-0.26591506945332977,-0.22465331077652417,-0.42192595591088455,-0.4549719661810926
AR,2020 Nov,1.077780892751456,0.6485118834360356,0.7017617080991778,0.5118448218280234,0.553106580504829,0.3558339353704686,0.32278792510026055
AR,2020 Dec,NA,NA,NA,NA,NA,NA,NA
MR,2017 Mar,NA,NA,NA,NA,NA,NA,NA
MR,2017 Apr,0.09839294572361307,-0.20740329000202828,-0.01898157165090425,-0.40542055482821465,-0.36807392074325335,0.013154895110144865,0.006932321918410325
MR,2017 May,NA,NA,NA,NA,NA,NA,NA
MR,2017 Jun,NA,NA,NA,NA,NA,NA,NA
MR,2017 Jul,NA,NA,NA,NA,NA,NA,NA
MR,2017 Aug,NA,NA,NA,NA,NA,NA,NA
MR,2017 Sep,NA,NA,NA,NA,NA,NA,NA
MR,2017 Oct,0.2783882783882784,-0.027407957337362954,0.16101376101376108,-0.22542522216354932,-0.18807858807858802,-0.17753156906422118,-0.06185994255116417
MR,2017 Nov,0.983927323549965,0.6781310878243236,0.8665528061754477,0.4801138229981373,0.5174604570830986,0.5280074760974655,0.6436791026105224
MR,2017 Dec,0.6545454545454544,0.3487492188198131,0.5371709371709371,0.1507319539936267,0.18807858807858802,0.19862560709295485,0.31429723360601186
MR,2018 Jan,NA,NA,NA,NA,NA,NA,NA
MR,2018 Feb,1.4031413612565442,1.0973451255309028,1.2857668438820269,1.0652564315925015,1.3186130593697518,0.9548458487891746,1.238793725210795
MR,2018 Mar,0.11737451737451732,-0.18842171835112403,0,-0.22051041228952534,0.0328462154877249,-0.33092099509285233,-0.046973118671231884
MR,2018 Apr,0.08452830188679242,-0.22126793383884893,-0.0328462154877249,-0.2533566277772502,0,-7.097487266757851e-4,-0.006932321918410325
MR,2018 May,NA,NA,NA,NA,NA,NA,NA
MR,2018 Jun,0.048484848484848436,-0.25731138724079294,-0.06888966888966888,-0.28940008117919425,-0.03604345340194398,-0.036753202128619766,-0.042975775320354306
MR,2018 Jul,NA,NA,NA,NA,NA,NA,NA
MR,2018 Aug,0.0358956193175109,-0.26990061640813046,-0.08147889805700642,-0.30198931034653176,-0.048632682569281514,-0.050709403831874604,-0.050709403831874604
MR,2018 Sep,NA,NA,NA,NA,NA,NA,NA
MR,2018 Oct,NA,NA,NA,NA,NA,NA,NA
MR,2018 Nov,NA,NA,NA,NA,NA,NA,NA
MR,2018 Dec,NA,NA,NA,NA,NA,NA,NA
MR,2019 Jan,NA,NA,NA,NA,NA,NA,NA
MR,2019 Feb,NA,NA,NA,NA,NA,NA,NA
MR,2019 Mar,0.21132075471698109,-0.09447548100866027,0.09394623734246377,0.09441539743881183,0.09441539743881183,-0.23697475775038856,0.046973118671231884
MR,2019 Apr,NA,NA,NA,NA,NA,NA,NA
MR,2019 May,NA,NA,NA,NA,NA,NA,NA
MR,2019 Jun,NA,NA,NA,NA,NA,NA,NA
MR,2019 Jul,NA,NA,NA,NA,NA,NA,NA
MR,2019 Aug,NA,NA,NA,NA,NA,NA,NA
MR,2019 Sep,NA,NA,NA,NA,NA,NA,NA
MR,2019 Oct,0.02248995983935742,-0.28330627588628393,-0.0948845575351599,-0.09441539743881183,-0.09441539743881183,-0.43342988761314216,-0.31775826110008515
MR,2019 Nov,NA,NA,NA,NA,NA,NA,NA
MR,2019 Dec,NA,NA,NA,NA,NA,NA,NA
MR,2020 Jan,0.061345416521436,-0.24445081920420536,-0.05602910085308132,-0.10076812617875341,-0.062084850148503505,-0.38695009594593366,-0.10300221952431321
MR,2020 Feb,NA,NA,NA,NA,NA,NA,NA
MR,2020 Mar,NA,NA,NA,NA,NA,NA,NA
MR,2020 Apr,NA,NA,NA,NA,NA,NA,NA
MR,2020 May,NA,NA,NA,NA,NA,NA,NA
MR,2020 Jun,0.10954610635861889,-0.19625012936702246,-0.007828411015898429,-0.05256743634157052,-0.013884160311320615,0.024308055745150686,0.018085482553416146
MR,2020 Jul,NA,NA,NA,NA,NA,NA,NA
MR,2020 Aug,NA,NA,NA,NA,NA,NA,NA
MR,2020 Sep,0.13731442698126012,-0.16848180874438123,0.0199399096067428,-0.024799115718929288,0.013884160311320615,0.05070940383187461,0.05070940383187461
MR,2020 Oct,NA,NA,NA,NA,NA,NA,NA
MR,2020 Nov,0.34024822093944257,0.03445198521380122,0.22287370356492525,0.17813467823925316,0.21681795426950307,-0.11567162651305701,0
MR,2020 Dec,NA,NA,NA,NA,NA,NA,NA
PD,2017 Mar,0.1775410563692854,-0.13242107835277062,-0.031114833422853178,-0.06348385471588097,0.012580051994166536,0.00378926500137558,0
PD,2017 Apr,NA,NA,NA,NA,NA,NA,NA
PD,2017 May,NA,NA,NA,NA,NA,NA,NA
PD,2017 Jun,NA,NA,NA,NA,NA,NA,NA
PD,2017 Jul,NA,NA,NA,NA,NA,NA,NA
PD,2017 Aug,NA,NA,NA,NA,NA,NA,NA
PD,2017 Sep,NA,NA,NA,NA,NA,NA,NA
PD,2017 Oct,0.15238095238095234,-0.1575811823411037,-0.05627493741118625,-0.08864395870421404,-0.012580051994166536,-0.10683647238967048,-0.04896507936507935
PD,2017 Nov,0.14646464646464646,-0.16349748825740956,-0.062191243327492124,-0.09456026462051992,-0.01849635791047241,-0.11275277830597635,-0.054881385281385225
PD,2017 Dec,0.4877129891257813,0.1777508544037253,0.27905709933364276,0.24668807804061493,0.32275198475066247,0.2284955643551585,0.2863669573797496
PD,2018 Jan,NA,NA,NA,NA,NA,NA,NA
PD,2018 Feb,0.21480629075565782,-0.0951558439663982,0.006150400963519237,-0.13191701145432594,0,0.041054499387747995,0.037265234386372414
PD,2018 Mar,0.17300521998508572,-0.1369569147369703,-0.035650669807052865,-0.17371808222489804,-0.0418010707705721,-7.465713828241072e-4,-0.004535836384199687
PD,2018 Apr,0.17733664185277084,-0.13262549286928518,-0.031319247939367745,-0.16938666035721292,-0.03746964890288698,-0.10002411566564032,-0.02855395063164981
PD,2018 May,0.18624338624338624,-0.12371874847866979,-0.02241250354875235,-0.16047991596659753,-0.028562904512271586,-0.09111737127502492,-0.019647206241034415
PD,2018 Jun,0.5203252032520326,0.21036306852997655,0.311669313459894,0.1736019010420488,0.30551891249637475,0.24296444573362141,0.3144346107676119
PD,2018 Jul,NA,NA,NA,NA,NA,NA,NA
PD,2018 Aug,0.5482541747993928,0.23829204007733673,0.3395982850072542,0.201530872589409,0.33344788404373493,-0.0998533150530111,-0.058838023782167514
