Variable,SF,TR,AR,PD,MR,GC,PL,WM,EM
USGS STAID,8211900,8212300,8189700,8177300,8189500,8164600,8164800,8164503,8164504
Lat,27.772526,27.520507,28.282504,28.751656,28.291951,28.891376,28.72527137,29.071858,29.070812
Lon,-98.033613,-97.840266,-97.620829,-97.317214,-97.279159,-96.819149,-96.7688702,-96.468028,-96.417191
Annual Temp,22.2145,22.2415,21.54733333,21.5275,21.51616667,21.209,21.36258333,20.7865,20.90783333
Annual Rain,56.67231884,54.17231884,68.5326087,78.72898551,72.85028986,84.25101449,82.05065217,94.17101449,95.02463768
Developed Land,4.74,15.8,8.28,2.45,3.72,4.28,5.312,3.58,6.81
Forest Land,1.48,1.45,3.58,34.85,8.43,17.53,26.19,4.19,1.65
Crop Land,28.01,26.34,52.39,27.41,35.06,50.34,48.3,82.49,85.88
Other Land,65.77,56.41,35.75,35.29,52.79,27.85,20.198,9.74,5.66
Q MED,36.5287365,5.9465385,142.716924,2.265348,368.11905,58.049542499999994,31.714872000000003,475.72308,24.352490999999997
Q MAX,302990.295,3454.6557,829683.705,155176.338,908970.885,370950.735,286000.185,529525.095,153194.1585
Q MU,417.4151752021397,49.38275750656814,964.0237880333392,143.42912435693546,3759.335027705246,1505.9564299072242,1415.764724319085,4517.970885767884,1239.299087916516
Q SD,5068.483743482465,154.15000961522784,10420.362658480744,2159.8672185482646,22753.80109970737,9794.263825054795,9463.931407651922,18133.420321288457,6133.559087691397
Q RSD,138.7533276296722,25.92264552146225,73.01420438742599,953.4372725728076,61.810985059608754,168.72249811537787,298.4067351005522,38.117596315252264,251.8657778250035
Q 25,23.219817,0.8495054999999999,93.7287735,0.2831685,99.675312,6.229706999999999,11.0435715,124.59414,1.132674
Q 75,52.3861725,26.3346705,231.49024875,9.3445605,870.7431374999999,231.77341724999997,109.303041,1670.69415,175.56447
Q WCDC,19536.288754401096,903.3939161506602,7995.971214614734,1245347.9096443185,1828.1157363581065,21985.354020833183,86992.09177557401,572.1546383668949,34207.77486483452
Q CDC,9.478080407452396,7.429405478666562,6.978327929246414,84.99580968721129,6.446931500893348,22.062651240837237,45.33344819646483,5.872911909177696,40.577206519399105
Q FS,69.76831184345501,44.88425443169969,38.46500763842312,409.8841703056768,61.289401005116126,162.270971050832,287.59882842025695,54.5503237198352,323.9223056328417
Q DS,0.730487060626128,0.9523809523809524,0.6564205929285295,0.875,0.983201430705845,0.9951219512195122,0.961199681981756,0.9539707035077404,0.988372093023256
Q LFPP,0.24657016991818753,0.21893814997263272,0.24975713150225207,0,0.24975713150225207,0.24887397332862315,0.2486090258765345,0.24975713150225207,0.2484759539399413
Q HFPP3,0.15066079295154186,0.29447181171319103,0.11684182637110306,0.31595618318595753,0.20083016868321116,0.29161882893226176,0.26865671641791045,0.2733374547381436,0.34974034770828627
Q HFPP7,0.07816236626809314,0.20087575259989057,0.06676675792634461,0.14913554177114954,0.11339750949395036,0.18449174247107655,0.1840501633842621,0.16417910447761194,0.2527658613682547
Q HFPP15,0.03171806167400881,0.1368363437328955,0.04133180252583238,0.08552197439619902,0.06694338956107039,0.12655656628102094,0.13839088580764816,0.1037710854013954,0.18232106570331905
Ammonia,0.19286931818181816,0.22920440476190476,0.16957198412698413,0.4607222619047619,0.144558875,0.158705875,0.13162815789473684,0.24823460526315788,0.14696302631578947
Conductivity,1032.5808928571428,4795.116071428572,1060.473275862069,904.066,2110.5939583333334,447.22534722222224,1414.5259615384616,503.76197916666666,558.4421296296297
D Oxygen,69.3235119047619,56.2825,78.04879310344828,76.111,70.64872023809524,54.364583333333336,90.13230769230768,71.0890625,68.93240740740741
DOC,6.804204545454546,13.656675,7.228375,6.484075,7.416555555555556,9.21225,4.2212499999999995,11.235027777777775,5.254760416666667
Nitrate,11.278920454553464,0.4537923809521569,6.270293650782633,0.13709380952386757,0.0579321249997364,0.1633253750001782,1.5030500000016171,0.32678763157894736,0.6078990350877193
pH,7.445833333333334,8.203611111111112,8.001574074074075,7.893229166666667,7.944537037037037,7.505905797101449,7.99688,7.858369565217392,7.708942307692308
Phosphate,2.3979090909090908,0.2482103571428571,1.8707869047619048,0.13937511904761904,0.14487775,0.431249875,0.1319590789473684,0.16790618421052633,0.28851666666666664
Temperature,24.039285714285715,22.365714285714287,22.38706896551724,22.911,23.3875,21.436458333333334,22.576923076923077,21.68958333333333,22.248148148148147
Turbidity,88.12632146136855,101.70552224287869,77.7259198261353,78.80539061473408,68.8905348489142,163.1685356391757,115.41345490050958,131.6656932363905,126.00704137835916
Gravel,0.26436684356034484,0.1642959770086207,0.3983974358974358,0.09405606060333334,0.07132183907758621,0.07764492752898551,0.06145833333333334,0.00652173913043478,0.0921153846153846
Sand,0.20816178575862068,0.17195629158908046,0.3096153846153846,0.4202898268333333,0.62856321838793106,0.7623913043550724,0.4765306122380952,0.7997826086956522,0.45709935897115384
Silt,0.4215600406350575,0.6269661221982759,0.07852564102564102,0.28310865801333335,0.25959770114655173,0.15996376811594204,0.31022534014285713,0.17467391304347826,0.4213621794903846
Canopy,0.6682532533018019,0.6856663560691986,0.6467274775225226,0.07571351352162162,0.4738847180543043,0.626094074883316,0.4152968146633687,0.650618118166917,0.07044401544087836
Depth Mx,0.23705803571428571,0.33325862068965517,0.2699083333333333,0.4147,0.5082946428571429,0.3341176282051282,0.3001517857142857,0.5857,0.5902758620689655
Width,3.0437905172413795,4.395475,4.157341091954023,4.241784615384615,6.918528869047619,6.330494,3.602463392857143,8.780223,5.478968518518519
Bluegreen Cyano,0.27942307692307694,0.3709722222222222,0.8793055555555556,0.5909201388854166,0.22891975308641976,0.35302083333333334,0.4343397435865385,0.1607,0.2864814814814815
Green Algae,0.07930769230769232,0.06745370370370371,0.08339506172839506,0.13969618055208333,0.16101851851851853,0.2153125,0.09615544872115384,0.08600000000000001,0.12638888888888888
Diatoms,0.7043173076923077,0.5508641975308642,0.7089598765432099,0.32365451388541666,0.4008333333333333,0.4993402777777778,1.022596153846154,0.26695,0.25546296296296295
