site_code,collection_period,axis1,axis2,centroid_dist
AR,2017-03-01,-0.29443900588806815,-1.9683133145365121,1.072136933908572
AR,2017-09-01,-0.18177533132713566,-1.7240080888240006,0.8461819875448435
AR,2017-11-01,-0.36781614927302697,-1.4619895839634751,0.5632299971964834
AR,2017-12-01,-0.39497943310658146,-1.5195122011017068,0.6213021266455889
AR,2018-02-01,-0.2582546878442299,-1.6386190312416027,0.7480762596834549
AR,2018-04-01,0.06588217884861283,-2.381360996122025,1.5450181424242686
AR,2018-05-01,-0.5881937502422743,-1.2198441521420915,0.3888625376839088
AR,2018-06-01,-0.3687662394800509,-1.2241909780526528,0.32543048104741323
AR,2018-07-01,-0.17806228040992797,-1.0534527458994551,0.24560733170100785
AR,2018-08-01,-0.6111664837546555,0.8073209072086336,1.723206182366587
AR,2018-09-01,-0.5396444305280155,-0.7905368773922298,0.20221046822538624
AR,2019-03-01,-0.43085041084301307,-0.5701692692658321,0.3343926169864849
AR,2019-09-01,-0.4684451203435084,-1.4395981925969645,0.5499346165346054
AR,2020-01-01,-0.4349771623378512,0.09990087275348955,1.0008494707162117
AR,2020-06-01,-0.35731146916903145,0.13061215790126549,1.0294371328040712
AR,2020-10-01,-0.36349977008570156,0.3294406089126335,1.2282126896460293
AR,2020-11-01,-0.49785272791646584,0.3453923206440955,1.2508247171725384
EM,2017-10-01,-0.3126206375006262,-0.0680260209316906,0.2862699712145962
EM,2017-11-01,-0.04814486763122346,-0.8529601715374026,1.1130647388642931
EM,2017-12-01,-0.4523412953372155,-0.272387363179493,0.49129902349720656
EM,2018-02-01,-0.3280803047166286,0.004217300977564298,0.2123920435256879
EM,2018-03-01,-0.22710856571232374,-0.25115310139121494,0.48523308671710247
EM,2018-04-01,-0.40692362255967673,0.22794822918715152,0.03899892793608696
EM,2018-05-01,-0.5287035023696849,0.33854071539414365,0.20188567554289927
EM,2018-06-01,-0.6581984879111641,0.29569165456888724,0.29884863222191127
EM,2018-07-01,-0.6117489624424383,0.17272331335278912,0.2437062377097963
EM,2018-09-01,-0.1983235711370172,0.5783545975624115,0.4049616683953719
EM,2019-03-01,-0.5189725851751704,0.37530581512676525,0.22007211354022493
EM,2019-10-01,-0.5242537797592768,0.718775860061466,0.5292003879236666
EM,2020-01-01,-0.22634960105812468,0.5952492120218696,0.4095662423745573
EM,2020-06-01,-0.3117290492844089,0.4025263722679188,0.19944289548430497
EM,2020-09-01,-0.36251919271066047,0.6724206719627975,0.46032923192723635
EM,2020-11-01,-0.22409531225758333,0.4575629638931356,0.2861330896446274
GC,2017-04-01,-0.569516921027959,-0.06730078182453887,0.7549747032174942
GC,2017-10-01,-0.3440597669206003,0.965869502678357,0.8011505955791962
GC,2017-11-01,-0.5220124561296784,0.17847301714698607,0.6259749379755183
GC,2017-12-01,-0.49108811273522857,0.41885848760530375,0.5972885336895758
GC,2018-02-01,-0.722924129166616,0.5364051629167853,0.8511344473648913
GC,2018-04-01,-0.4992855831984684,-0.2519471547553484,0.8059486667952553
GC,2018-05-01,0.176513112374403,-0.5461856406478985,0.8448234927047505
GC,2018-06-01,0.5945929036931525,0.41634540047207813,0.5160671558544959
GC,2018-07-01,1.038211506521421,0.41463085051333065,0.9527010284292752
GC,2018-08-01,1.1026217225307475,0.5870357931642753,1.0510365255700225
GC,2018-11-01,1.0582311211132356,0.30261430984867355,0.9651517864607608
GC,2019-03-01,0.40151928963137873,0.5799385198696463,0.42021776022422896
GC,2019-10-01,0.675082727935945,0.3640871741577208,0.5861136146892176
GC,2020-01-01,0.6487264421427108,0.2207257813998029,0.5604910334416787
GC,2020-06-01,0.29248681130626014,0.11976108222106781,0.2651176868813488
GC,2020-09-01,-0.528170568479012,0.5432323689899737,0.6692203803771416
GC,2020-11-01,-0.7280011385355141,0.22414688714246775,0.8241238643932554
MR,2017-04-01,-0.48604744905004005,0.08885048381714268,0.3494301965890067
MR,2017-10-01,-0.0762132951969108,0.061988318290043,0.18320920874554303
MR,2017-11-01,-0.41022463091959127,0.3251857247249129,0.46976187090402904
MR,2017-12-01,-0.33296156528467585,0.20357236208757892,0.3260908097874209
MR,2018-02-01,-0.363959482049798,-0.08152263299239454,0.18030449096144113
MR,2018-03-01,-0.23319317780504287,0.0981780637524373,0.19105700062120798
MR,2018-04-01,0.21143701977641186,-0.3788396283265318,0.4916217787435398
MR,2018-06-01,0.06651373919351594,0.38435085009443803,0.5330927259460685
MR,2018-08-01,0.06146351193340146,0.22354434938285112,0.39516720368925096
MR,2019-03-01,-0.1320401165227292,0.18452503293496778,0.2757730955204121
MR,2019-10-01,-0.11603318798774091,-0.03735168982432976,0.08356762045677028
MR,2020-01-01,-0.09564969448778332,0.5873400770603839,0.6794346040950998
MR,2020-06-01,-0.2891023456981262,-1.718449271735954,1.6354855692455428
MR,2020-09-01,-0.24629589866364432,-0.788562774029592,0.7049830721519319
MR,2020-11-01,-0.31349278838759137,-0.44824506967531724,0.3844477385903943
PD,2017-03-01,-0.3893538841906366,-0.9468476309784208,0.8656625707364579
PD,2017-10-01,-0.3809666059451735,-0.5718366642639258,0.6426583443759416
PD,2017-11-01,0.009958565331074337,-1.556278201328279,1.2485168390314285
PD,2017-12-01,-0.2721725046829281,-1.1749514551457212,0.9788893545592464
PD,2018-02-01,-0.20305515737783247,-0.6126596442321912,0.505496106273296
PD,2018-03-01,-0.37866871469626323,-0.3290991889845994,0.5907658128917375
PD,2018-04-01,0.16729117856006379,-0.3860525957278481,0.07633995425461948
PD,2018-05-01,-0.5000634427491321,-0.855443000103767,0.8884431091731616
PD,2018-06-01,-0.4549639674475426,-0.6121035933627251,0.7265086512438872
PD,2018-08-01,-0.45349877350075996,-0.03203183287053983,0.7268913296840497
PD,2018-09-01,1.1368271051047698,0.8167383174063815,1.4686632425223107
PD,2019-03-01,0.8661042878474879,0.4500729014112402,1.013556536294728
PD,2019-10-01,0.9847836112623688,-0.12130774830910214,0.7989073501352247
PD,2020-01-01,1.1168491476149858,0.3069139071195828,1.103157010428951
PD,2020-06-01,1.2211023595078145,0.5833560915205983,1.3571458580271016
PD,2020-09-01,0.9230593184047795,-0.14615192114565637,0.7329445156716151
PL,2017-04-01,0.943662663872389,-0.170011409333852,0.3700380970192543
PL,2017-10-01,1.0790086466481934,0.32774682546143835,0.19309086849665064
PL,2017-11-01,1.0588753202317946,-0.23754346876912372,0.454844580832703
PL,2017-12-01,0.1667465324199469,-0.3892543068223764,0.9675984043757611
PL,2018-02-01,0.6744472996025004,-0.146333340666128,0.4329032511311342
PL,2018-03-01,0.714277473223322,0.4956070571329522,0.368573722661658
PL,2018-04-01,0.7808683522918174,0.4737419778373308,0.3138875934603645
PL,2018-05-01,1.2968982180844204,0.792393036301363,0.6946349545721618
PL,2018-06-01,1.329251088172533,0.6017399017904548,0.5634334066970125
PL,2018-08-01,1.1251734939521165,-0.09155572737241878,0.34840335133109146
PL,2018-10-01,1.2425040614032572,-0.08561060936024971,0.4201337152691838
PL,2019-03-01,1.3157297406585942,0.15419347232511335,0.3841620711977916
PL,2019-10-01,1.37144634736457,0.2646023035698395,0.44191014270487095
PL,2020-01-01,1.2611576909486082,0.7408836579826694,0.6320539325960658
PL,2020-06-01,1.2881096403358,0.7402778510111346,0.6458966955173745
PL,2020-09-01,0.8670225049839595,0.2943089256323328,0.11591984696187123
PL,2020-11-01,-0.6321240366485461,-0.3667475080161251,1.6657654748968775
SF,2017-03-01,-0.3554985506847454,0.6528804533685438,0.8412112024276159
SF,2017-09-01,-0.4552409370172535,-0.6123581137688344,0.4321119607176307
SF,2017-11-01,-0.46051061957816375,0.49664579377827817,0.6772115040319658
SF,2017-12-01,-0.5015440896736634,0.15200693634062612,0.3339969452194782
SF,2018-02-01,0.06163509940730201,-0.5716364963849943,0.6600342819392949
SF,2018-04-01,-0.568009752374345,0.040110766051387636,0.24139329882031685
SF,2018-05-01,-0.3191273439748951,0.3387822321609352,0.5407600238967878
SF,2018-06-01,-0.6342270400381225,-0.07939806087417896,0.19283538967640193
SF,2018-07-01,-0.1327898434160814,-0.5939093410972731,0.5335091672190049
SF,2018-09-01,-0.5620246008926529,-0.11704450188050756,0.11176491040341566
SF,2019-04-01,-0.6311003132117214,-0.6344647335720406,0.4816969432225958
SF,2019-10-01,-0.29763585475837123,-1.5677013490240497,1.3978721835288537
SF,2020-01-01,-0.6140729134167643,-0.21746145419051238,0.14871986055508227
SF,2020-06-01,-0.5866844437725713,-1.2173412250282183,1.0433851655375146
SF,2020-09-01,-0.7391087791010835,0.6586847831108172,0.8812708693109285
SF,2020-11-01,-0.724372898070169,0.3842211427533176,0.6193580580175732
TR,2017-04-01,-0.680226016799884,0.6286968840423045,0.4397743613310335
TR,2017-10-01,-0.5872753376469414,0.4946513330651414,0.3618375097702775
TR,2017-11-01,-0.5611669620620978,0.3104279416262071,0.43194024685991717
TR,2017-12-01,-0.5224576776482113,0.6986368500201485,0.2976735973134044
TR,2018-02-01,-0.7584987819393013,0.8129431115986775,0.5589996054029642
TR,2018-04-01,-0.5204985605305169,1.0915948612793036,0.5646796844843832
TR,2018-06-01,-0.5030038030154531,0.5258330428663167,0.2721749310139051
TR,2018-07-01,0.22067911984216487,0.5335662763913306,0.46687835625781254
TR,2018-09-01,0.4848476201342615,0.9981135624452165,0.8277994848600442
TR,2019-10-01,0.5492174334866827,1.0037969415691756,0.8873746661536442
TR,2020-01-01,-0.45217148472503255,0.6277572400722293,0.2125540613084039
TR,2020-06-01,-0.09611988753510675,0.4507088855469373,0.20880566646839754
TR,2020-09-01,-0.22146159507322746,0.3483980386886589,0.25312820582165596
TR,2020-11-01,0.269363389878428,-0.11470292784280771,0.8790243407416
WM,2017-10-01,-0.44805997232296296,-0.06404781725012292,0.860705266771449
WM,2017-11-01,-0.21563375952961886,0.32901813828903764,0.5503554085751471
WM,2017-12-01,0.3643168776856379,0.17614694926366092,0.12367452398995571
WM,2018-02-01,1.1162344439333167,0.6971006583904011,0.8793253587602942
WM,2018-03-01,0.5386330237886044,0.23201848558491556,0.21465463109451857
WM,2018-04-01,0.9658258627369062,0.33110278274351157,0.6330719033214276
WM,2018-05-01,1.0402631382757794,0.31631267053694484,0.7068266090910468
WM,2018-06-01,1.2324824550057383,0.06808860842472839,0.9271956638336981
WM,2018-09-01,0.7433202150923534,0.2355203880375895,0.41402920923504327
WM,2019-03-01,1.2606963624105183,0.20229832231990488,0.9316890540758549
WM,2019-10-01,1.2116095811954795,0.028233745055681846,0.9178027304157416
WM,2020-01-01,-0.8143073712444416,0.4839352005386957,1.1633207185151835
WM,2020-06-01,-0.5552469741661377,0.30571844011804716,0.8890293801431535
WM,2020-09-01,-0.7016333833333153,0.45971547733186696,1.048229434553579
WM,2020-11-01,-0.7325646245503458,0.6385262557156364,1.1199645930113404
